customer_id,month,avg_monthly_inflow,avg_monthly_outflow,net_cash_flow,cash_flow_consistency_score,balance_volatility,spending_shock_flag,overdraft_flag
C00001,1,67830,49273,18557,76,0.23,0,0
C00001,2,68379,39956,28423,84,0.35,0,0
C00001,3,63623,53955,9668,78,0.44,0,0
C00001,4,68105,43965,24140,76,0.27,0,0
C00001,5,67046,47098,19948,84,0.44,0,0
C00001,6,67166,47987,19179,85,0.25,0,0
C00001,7,65607,49315,16292,77,0.46,0,0
C00001,8,66005,48331,17674,75,0.32,0,0
C00001,9,64319,47938,16381,82,0.41,0,0
C00001,10,67081,47617,19464,84,0.39,0,0
C00001,11,63538,44251,19287,75,0.32,0,0
C00001,12,64429,51289,13140,84,0.28,0,0
C00002,1,5154,8427,-3273,26,0.65,0,1
C00002,2,12729,9745,2984,26,0.4,0,0
C00002,3,8275,9405,-1130,22,0.67,0,1
C00002,4,8785,11399,-2614,27,0.73,0,1
C00002,5,7480,10321,-2841,26,0.8,0,1
C00002,6,5022,10809,-5787,26,0.69,0,1
C00002,7,12531,9065,3466,26,0.69,0,0
C00002,8,11155,11948,-793,25,0.74,0,1
C00002,9,12070,10901,1169,25,0.89,0,0
C00002,10,9863,8403,1460,27,0.52,0,0
C00002,11,8898,11842,-2944,25,0.74,0,1
C00002,12,5884,11704,-5820,28,0.56,0,1
C00003,1,43234,24138,19096,91,0.41,0,0
C00003,2,46190,26957,19233,92,0.42,0,0
C00003,3,44369,24958,19411,83,0.42,0,0
C00003,4,43754,28242,15512,89,0.24,0,0
C00003,5,46695,21356,25339,83,0.28,0,0
C00003,6,45479,62147,-16668,59,0.21,1,1
C00003,7,44176,26710,17466,82,0.42,0,0
C00003,8,46096,29206,16890,89,0.41,0,0
C00003,9,44668,20612,24056,82,0.42,0,0
C00003,10,43716,22780,20936,83,0.4,0,0
C00003,11,43601,25500,18101,87,0.36,0,0
C00003,12,46146,26188,19958,88,0.47,0,0
C00004,1,138340,82206,56134,71,0.23,0,0
C00004,2,154486,66971,87515,72,0.21,0,0
C00004,3,87217,87995,-778,70,0.45,0,1
C00004,4,105539,75982,29557,68,0.4,0,0
C00004,5,137230,87119,50111,64,0.47,0,0
C00004,6,146254,94684,51570,70,0.3,0,0
C00004,7,124058,65449,58609,73,0.28,0,0
C00004,8,110402,66677,43725,69,0.21,0,0
C00004,9,98030,81798,16232,65,0.42,0,0
C00004,10,121399,65849,55550,69,0.28,0,0
C00004,11,158190,78336,79854,66,0.24,0,0
C00004,12,145300,178372,-33072,59,0.35,1,1
C00005,1,43065,28829,14236,77,0.23,0,0
C00005,2,45845,32647,13198,76,0.35,0,0
C00005,3,43810,26711,17099,81,0.21,0,0
C00005,4,45432,35971,9461,80,0.28,0,0
C00005,5,46253,36222,10031,78,0.25,0,0
C00005,6,43858,37120,6738,74,0.39,0,0
C00005,7,42431,36105,6326,84,0.24,0,0
C00005,8,43184,39435,3749,76,0.45,0,0
C00005,9,44643,36752,7891,81,0.44,0,0
C00005,10,45217,27937,17280,82,0.32,0,0
C00005,11,43709,38694,5015,80,0.44,0,0
C00005,12,44764,30503,14261,84,0.42,0,0
C00006,1,127543,52482,75061,85,0.45,0,0
C00006,2,126296,63056,63240,94,0.4,0,0
C00006,3,119230,56141,63089,94,0.39,0,0
C00006,4,124597,47629,76968,92,0.43,0,0
C00006,5,126898,56120,70778,90,0.21,0,0
C00006,6,120549,54008,66541,89,0.22,0,0
C00006,7,121474,48008,73466,85,0.33,0,0
C00006,8,127580,58759,68821,94,0.46,0,0
C00006,9,123117,57688,65429,90,0.21,0,0
C00006,10,116443,65169,51274,86,0.22,0,0
C00006,11,117357,64660,52697,87,0.44,0,0
C00006,12,119101,117662,1439,76,0.43,1,0
C00007,1,895,1245,-350,48,0.68,0,1
C00007,2,957,1219,-262,47,0.66,0,1
C00007,3,1554,1545,9,42,0.65,0,0
C00007,4,771,1337,-566,47,0.41,0,1
C00007,5,1596,1479,117,42,0.78,0,0
C00007,6,1041,1580,-539,51,0.7,0,1
C00007,7,1420,1457,-37,52,0.79,0,1
C00007,8,1136,1215,-79,47,0.43,0,1
C00007,9,935,1182,-247,46,0.71,0,1
C00007,10,711,1533,-822,49,0.83,0,1
C00007,11,1449,1671,-222,49,0.89,0,1
C00007,12,699,1675,-976,42,0.87,0,1
C00008,1,110615,56102,54513,88,0.22,0,0
C00008,2,108924,57073,51851,80,0.43,0,0
C00008,3,106665,77931,28734,81,0.25,0,0
C00008,4,108743,55120,53623,82,0.4,0,0
C00008,5,106771,60795,45976,80,0.49,0,0
C00008,6,115173,77525,37648,87,0.21,0,0
C00008,7,113099,65963,47136,89,0.22,0,0
C00008,8,114897,74332,40565,90,0.31,0,0
C00008,9,112228,56725,55503,83,0.42,0,0
C00008,10,113240,55697,57543,87,0.38,0,0
C00008,11,116986,60467,56519,90,0.49,0,0
C00008,12,115070,63971,51099,80,0.45,0,0
C00009,1,94041,37802,56239,95,0.48,0,0
C00009,2,95066,45529,49537,97,0.36,0,0
C00009,3,97626,53332,44294,91,0.24,0,0
C00009,4,94069,44951,49118,88,0.21,0,0
C00009,5,97741,52814,44927,94,0.46,0,0
C00009,6,98883,46115,52768,92,0.35,0,0
C00009,7,92923,77295,15628,69,0.23,1,0
C00009,8,95073,50177,44896,97,0.49,0,0
C00009,9,89894,38107,51787,95,0.27,0,0
C00009,10,96470,52454,44016,90,0.48,0,0
C00009,11,92130,51261,40869,97,0.28,0,0
C00009,12,91465,44999,46466,93,0.47,0,0
C00010,1,33261,16286,16975,65,0.31,0,0
C00010,2,32425,15639,16786,71,0.33,0,0
C00010,3,32387,21785,10602,74,0.36,0,0
C00010,4,30539,23000,7539,69,0.47,0,0
C00010,5,35611,47831,-12220,51,0.48,1,1
C00010,6,25146,16677,8469,73,0.28,0,0
C00010,7,36188,20669,15519,68,0.47,0,0
C00010,8,37541,18238,19303,73,0.47,0,0
C00010,9,43229,18818,24411,75,0.41,0,0
C00010,10,44223,16272,27951,69,0.29,0,0
C00010,11,26056,17505,8551,75,0.28,0,0
C00010,12,45644,19672,25972,69,0.25,0,0
C00011,1,135945,77007,58938,77,0.35,0,0
C00011,2,134326,83449,50877,81,0.21,0,0
C00011,3,130989,74027,56962,85,0.47,0,0
C00011,4,137982,84252,53730,86,0.22,0,0
C00011,5,138990,86507,52483,86,0.24,0,0
C00011,6,128546,68914,59632,80,0.23,0,0
C00011,7,128285,73588,54697,78,0.42,0,0
C00011,8,127587,68129,59458,79,0.2,0,0
C00011,9,131996,77538,54458,82,0.49,0,0
C00011,10,128669,94339,34330,76,0.35,0,0
C00011,11,137244,81614,55630,76,0.49,0,0
C00011,12,129765,70952,58813,83,0.36,0,0
C00012,1,61748,36570,25178,88,0.25,0,0
C00012,2,61434,41122,20312,90,0.43,0,0
C00012,3,64244,37905,26339,94,0.29,0,0
C00012,4,62371,38318,24053,89,0.49,0,0
C00012,5,63695,47313,16382,92,0.32,0,0
C00012,6,62373,35113,27260,92,0.48,0,0
C00012,7,65384,37971,27413,92,0.27,0,0
C00012,8,61087,40127,20960,90,0.47,0,0
C00012,9,62488,50432,12056,91,0.36,0,0
C00012,10,59965,50882,9083,91,0.49,0,0
C00012,11,64321,38472,25849,94,0.31,0,0
C00012,12,64876,49029,15847,91,0.29,0,0
C00013,1,96908,188794,-91886,45,0.48,1,1
C00013,2,105291,65985,39306,62,0.48,0,0
C00013,3,78757,63914,14843,69,0.3,0,0
C00013,4,107487,75542,31945,62,0.32,0,0
C00013,5,122340,77289,45051,63,0.5,0,0
C00013,6,95050,76890,18160,62,0.43,0,0
C00013,7,104191,72485,31706,64,0.26,0,0
C00013,8,104791,75096,29695,61,0.46,0,0
C00013,9,119553,80609,38944,65,0.32,0,0
C00013,10,98076,82263,15813,66,0.35,0,0
C00013,11,86639,62985,23654,65,0.27,0,0
C00013,12,105996,79960,26036,70,0.28,0,0
C00014,1,8134,12213,-4079,75,0.67,0,1
C00014,2,8372,10284,-1912,83,0.86,0,1
C00014,3,14379,11751,2628,82,0.84,0,0
C00014,4,9384,11545,-2161,83,0.84,0,1
C00014,5,7759,12035,-4276,80,0.81,0,1
C00014,6,11840,12371,-531,73,0.9,0,1
C00014,7,7361,10870,-3509,75,0.6,0,1
C00014,8,15289,12904,2385,81,0.4,0,0
C00014,9,15163,11098,4065,79,0.76,0,0
C00014,10,10422,25961,-15539,48,0.83,1,1
C00014,11,14752,12478,2274,75,0.77,0,0
C00014,12,8223,10178,-1955,81,0.5,0,1
C00015,1,115452,72977,42475,92,0.22,0,0
C00015,2,110403,64782,45621,96,0.22,0,0
C00015,3,119224,71783,47441,99,0.2,0,0
C00015,4,119597,83142,36455,98,0.43,0,0
C00015,5,109885,87224,22661,96,0.27,0,0
C00015,6,113524,72773,40751,94,0.38,0,0
C00015,7,117313,85375,31938,92,0.24,0,0
C00015,8,115356,190051,-74695,79,0.22,1,1
C00015,9,114546,78070,36476,97,0.45,0,0
C00015,10,110963,66159,44804,97,0.32,0,0
C00015,11,114797,72211,42586,91,0.3,0,0
C00015,12,116089,71921,44168,93,0.36,0,0
C00016,1,4344,3978,366,51,0.41,0,0
C00016,2,3000,4491,-1491,56,0.63,0,1
