loan_id,customer_id,loan_purpose,requested_amount,approved_amount,loan_tenure_months,interest_rate,emi,emi_to_income_ratio,application_date,risk_score,underwriting_score,default_probability,risk_category,approved,rejection_reason,loan_to_income_ratio,loan_status,defaulted
LN958998,C00001,Personal,2227834,1751899,24,19.99,89155.75,1.36,2024-08-09,73,27,0.458,High,0,Insufficient Repayment Capacity,2.23,Rejected,0
LN784117,C00002,Medical,75880,56700,12,17.65,5188.82,0.37,2025-09-20,93,7,0.578,High,0,High Risk,0.33,Rejected,0
LN718412,C00003,Vehicle,1061109,953797,60,8.41,19527.26,0.43,2024-07-31,10,90,0.08,Low,1,N/A,1.75,Active,0
LN983915,C00004,Medical,4498633,3436823,24,14.85,166395.2,1.34,2025-03-11,58,42,0.368,High,0,Insufficient Repayment Capacity,2.31,Rejected,0
LN874536,C00005,Home Renovation,1054195,887592,48,9.18,22163.71,0.5,2025-05-31,55,45,0.35,High,0,Insufficient Repayment Capacity,1.67,Rejected,0
LN365557,C00006,Business,2907147,2465793,60,12.25,55162.22,0.45,2026-05-07,30,70,0.2,Medium,1,N/A,1.69,Active,0
LN798732,C00007,Medical,50000,38290,12,14.33,3443.9,2.14,2025-11-10,100,0,0.62,High,0,High Risk,1.98,Rejected,0
LN362384,C00008,Personal,4332248,3651904,24,18.77,183679.6,1.64,2025-12-22,53,47,0.338,High,0,Insufficient Repayment Capacity,2.72,Rejected,0
LN593774,C00009,Vehicle,2104051,1599477,60,9.81,33834.82,0.36,2025-04-02,15,85,0.11,Low,1,N/A,1.41,Active,0
LN864664,C00010,Personal,1325284,945582,12,15.4,85525.21,2.42,2025-08-22,56,44,0.356,High,0,Insufficient Repayment Capacity,2.23,Rejected,0
LN502162,C00011,Personal,4206290,3098257,36,13.96,105830.9,0.79,2025-10-16,55,45,0.35,High,0,Insufficient Repayment Capacity,1.94,Rejected,0
LN666100,C00012,Personal,2021509,1552651,36,22.56,59747.2,0.96,2025-02-05,46,54,0.296,Medium,0,Insufficient Repayment Capacity,2.07,Rejected,0
LN899869,C00013,Business,369727,325239,60,10.74,7029.39,0.07,2024-10-24,35,65,0.23,Medium,1,N/A,0.28,Closed,0
LN566491,C00014,Medical,103076,92452,12,16.1,8392.62,0.63,2025-05-29,80,20,0.5,High,1,N/A,0.58,Active,0
LN374239,C00015,Personal,829100,818471,24,15.83,40008.44,0.35,2024-06-22,37,63,0.242,Medium,1,N/A,0.6,Active,0
LN178749,C00016,Personal,50000,47451,36,20.3,1770.71,0.3,2025-10-05,100,0,0.62,High,0,High Risk,0.67,Rejected,0
LN458038,C00017,Business,3529357,3073599,36,9.78,98859.23,0.81,2026-02-11,41,59,0.266,Medium,0,Insufficient Repayment Capacity,2.11,Rejected,0
LN119101,C00018,Business,2598920,2302936,36,15.63,80544.35,0.33,2024-11-14,50,50,0.32,High,1,N/A,0.79,Defaulted,1
LN418047,C00019,Personal,658917,466115,24,19.63,23639.13,0.33,2025-04-17,5,95,0.05,Low,1,N/A,0.55,Active,0
LN537117,C00020,Home Renovation,1895236,1786237,48,11.56,46653.5,0.86,2025-07-30,63,37,0.398,High,0,Insufficient Repayment Capacity,2.73,Rejected,0
LN466036,C00021,Medical,1016994,877868,24,11.13,40968.53,0.41,2025-03-08,20,80,0.14,Low,1,N/A,0.73,Closed,0
LN771083,C00022,Personal,1007083,713458,36,20.27,26612.91,0.19,2026-01-13,5,95,0.05,Low,1,N/A,0.43,Active,0
LN380975,C00023,Medical,730506,608724,12,18.02,55813.61,1.24,2026-01-13,65,35,0.41,High,0,Insufficient Repayment Capacity,1.13,Rejected,0
LN279421,C00024,Personal,323244,248702,24,21.97,12898.52,0.13,2024-10-20,21,79,0.146,Low,1,N/A,0.22,Defaulted,1
LN863160,C00025,Medical,938547,725190,12,13.85,65061.55,0.44,2026-02-02,55,45,0.35,High,0,Insufficient Repayment Capacity,0.41,Rejected,0
LN259318,C00026,Home Renovation,1410047,1146142,48,6.63,27249.48,0.63,2025-08-06,33,67,0.218,Medium,0,Insufficient Repayment Capacity,2.21,Rejected,0
LN908795,C00027,Education,213915,198752,36,8.75,6297.16,0.34,2025-12-04,63,37,0.398,High,1,N/A,0.9,Closed,0
LN963886,C00028,Medical,362015,330093,36,13.9,11265.77,0.17,2025-08-31,16,84,0.116,Low,1,N/A,0.41,Closed,0
LN266813,C00029,Vehicle,1270167,1178714,36,8.37,37138.14,0.37,2024-10-08,30,70,0.2,Medium,1,N/A,0.97,Active,0
LN752700,C00030,Personal,150961,140116,36,17.14,5005.29,0.56,2024-12-18,88,12,0.548,High,0,High Risk,1.32,Rejected,0
LN272085,C00031,Personal,66652,64866,36,17.3,2322.35,0.2,2026-03-20,93,7,0.578,High,0,High Risk,0.47,Rejected,0
LN370545,C00032,Home Renovation,9555527,8818458,48,11.15,228560.57,1.11,2026-05-31,60,40,0.38,High,0,Insufficient Repayment Capacity,3.58,Rejected,0
LN138943,C00033,Home Renovation,2793670,2562804,48,9.24,64067.94,0.5,2024-12-18,37,63,0.242,Medium,1,N/A,1.68,Closed,0
LN505430,C00034,Vehicle,2544889,2204104,48,9.46,55331.91,0.59,2026-05-01,48,52,0.308,Medium,0,Insufficient Repayment Capacity,1.95,Rejected,0
LN549133,C00035,Personal,1457463,1089669,36,18.87,39871.34,0.44,2025-02-27,32,68,0.212,Medium,1,N/A,1.01,Defaulted,1
LN684008,C00036,Vehicle,1442944,1217255,36,11.16,39943.66,0.48,2025-12-09,32,68,0.212,Medium,1,N/A,1.23,Closed,0
LN415473,C00037,Personal,4868334,3886529,36,14.49,133759.17,1.06,2024-10-03,58,42,0.368,High,0,Insufficient Repayment Capacity,2.57,Rejected,0
LN706378,C00038,Medical,3801684,2811381,36,12.47,94010.44,0.98,2024-09-18,48,52,0.308,Medium,0,Insufficient Repayment Capacity,2.44,Rejected,0
LN296082,C00039,Business,1589628,1247846,48,12.7,33291.08,0.37,2024-10-04,50,50,0.32,High,1,N/A,1.16,Defaulted,1
LN118895,C00040,Personal,629153,621940,24,15.01,30158.74,0.74,2025-02-23,40,60,0.26,Medium,0,Insufficient Repayment Capacity,1.28,Rejected,0
LN766425,C00041,Vehicle,1729262,1490858,48,9.04,37128.39,0.51,2025-11-16,17,83,0.122,Low,1,N/A,1.72,Active,0
LN946907,C00042,Personal,3606959,3068425,12,12.87,273876.25,1.61,2026-02-01,55,45,0.35,High,0,Insufficient Repayment Capacity,1.51,Rejected,0
LN827206,C00043,Education,234555,188266,60,12.37,4223.16,0.17,2025-04-09,80,20,0.5,High,1,N/A,0.62,Defaulted,1
LN984995,C00044,Personal,59909,44311,24,23.29,2327.1,0.17,2024-09-20,100,0,0.62,High,0,High Risk,0.28,Rejected,0
LN518971,C00045,Business,2133081,2060369,48,11.04,53291.35,0.59,2025-05-29,73,27,0.458,High,0,Insufficient Repayment Capacity,1.91,Rejected,0
LN131944,C00046,Home Renovation,3932038,3193557,48,8.7,79017.66,0.56,2024-07-25,55,45,0.35,High,1,N/A,1.9,Closed,0
LN694316,C00047,Business,2987888,2297396,48,13.24,61907.39,0.72,2025-03-30,63,37,0.398,High,0,Insufficient Repayment Capacity,2.22,Rejected,0
LN264997,C00048,Vehicle,407019,399381,36,8.96,12692.78,0.25,2025-06-01,42,58,0.272,Medium,1,N/A,0.66,Active,0
LN600120,C00049,Medical,505896,481546,12,12.44,42883.96,1.47,2024-08-11,83,17,0.518,High,0,High Risk,1.38,Rejected,0
LN262816,C00050,Medical,68020,58019,36,11.76,1920.42,0.07,2025-05-18,58,42,0.368,High,1,N/A,0.18,Closed,0
LN635128,C00051,Education,291451,222343,48,12.0,5855.14,0.2,2024-09-17,46,54,0.296,Medium,1,N/A,0.63,Closed,0
LN636481,C00052,Medical,1535360,1496833,12,10.01,131602.36,2.11,2025-12-28,43,57,0.278,Medium,0,Insufficient Repayment Capacity,2.0,Rejected,0
LN648688,C00053,Home Renovation,168143,129530,48,10.06,3288.95,0.1,2024-07-18,23,77,0.158,Low,1,N/A,0.32,Closed,0
LN712043,C00054,Business,3253969,2586344,36,11.23,84955.57,0.64,2026-02-23,50,50,0.32,High,0,Insufficient Repayment Capacity,1.63,Rejected,0
LN888020,C00055,Medical,1443561,1249697,24,16.51,61494.02,0.81,2025-05-20,70,30,0.44,High,0,Insufficient Repayment Capacity,1.38,Rejected,0
LN343249,C00056,Medical,51055,37473,36,16.59,1328.38,0.15,2026-06-01,58,42,0.368,High,1,N/A,0.34,Active,0
LN691348,C00057,Medical,936710,669623,36,12.47,22391.68,0.44,2025-05-22,13,87,0.098,Low,1,N/A,1.09,Closed,0
LN257454,C00058,Home Renovation,2308321,2196537,60,9.85,46507.97,0.67,2025-12-18,43,57,0.278,Medium,1,N/A,2.63,Defaulted,1
LN501203,C00059,Business,378297,369069,60,10.64,7958.35,0.08,2026-05-06,0,100,0.02,Low,1,N/A,0.33,Active,0
LN244134,C00060,Business,4869392,4311647,60,13.55,99321.43,0.91,2026-01-20,58,42,0.368,High,0,Insufficient Repayment Capacity,3.3,Rejected,0
LN592149,C00061,Business,4211550,3991389,48,10.1,101423.73,1.1,2025-05-11,48,52,0.308,Medium,0,Insufficient Repayment Capacity,3.6,Rejected,0
LN271304,C00062,Vehicle,765007,660860,36,9.69,21228.04,0.24,2026-01-09,8,92,0.068,Low,1,N/A,0.63,Active,0
LN141346,C00063,Vehicle,1655422,1315183,48,11.37,34228.39,0.44,2024-09-27,30,70,0.2,Medium,1,N/A,1.42,Active,0
LN520490,C00064,Personal,89608,85515,24,17.99,4268.85,0.34,2025-06-01,53,47,0.338,High,1,N/A,0.56,Active,0
LN284679,C00065,Personal,1553807,1100119,36,17.02,39233.19,0.49,2026-03-26,73,27,0.458,High,0,Insufficient Repayment Capacity,1.15,Rejected,0
