customer_id,loan_id,risk_score_ml,risk_tier,segment_label
C00001,LN615629,71.1,Red,High-Risk Borrowers
C00003,LN238100,23.5,Green,Prime Borrowers
C00004,LN911208,22.5,Green,Near-Prime Borrowers
C00009,LN820378,10.6,Green,Prime Borrowers
C00010,LN917501,37.3,Amber,Prime Borrowers
C00011,LN382082,47.9,Amber,Near-Prime Borrowers
C00012,LN857090,14.6,Green,Prime Borrowers
C00014,LN730107,52.8,Amber,High-Risk Borrowers
C00015,LN131384,19.8,Green,Prime Borrowers
C00019,LN430475,14.2,Green,Prime Borrowers
C00024,LN107199,13.1,Green,Prime Borrowers
C00027,LN415212,76.0,Red,High-Risk Borrowers
C00029,LN471080,42.1,Amber,Prime Borrowers
C00036,LN929767,37.2,Amber,Prime Borrowers
C00037,LN604780,31.7,Green,Near-Prime Borrowers
C00038,LN399095,41.2,Amber,Prime Borrowers
C00041,LN610774,7.7,Green,Prime Borrowers
C00043,LN611046,50.8,Amber,High-Risk Borrowers
C00046,LN727390,53.3,Amber,Near-Prime Borrowers
C00049,LN348384,54.2,Amber,High-Risk Borrowers
C00050,LN467276,45.2,Amber,High-Risk Borrowers
C00051,LN427730,38.2,Amber,High-Risk Borrowers
C00053,LN210976,55.5,Amber,Prime Borrowers
C00054,LN407740,25.8,Green,Prime Borrowers
C00056,LN480653,72.6,Red,High-Risk Borrowers
C00057,LN584273,31.8,Green,Prime Borrowers
C00058,LN930787,25.2,Green,Prime Borrowers
C00064,LN663912,56.3,Amber,High-Risk Borrowers
C00066,LN253256,56.5,Amber,High-Risk Borrowers
C00067,LN276690,35.6,Amber,Near-Prime Borrowers
C00068,LN709501,10.4,Green,Prime Borrowers
C00069,LN925206,33.6,Green,Near-Prime Borrowers
C00071,LN197783,21.8,Green,Prime Borrowers
C00077,LN517017,34.8,Green,Prime Borrowers
C00078,LN252708,25.0,Green,Prime Borrowers
C00081,LN289108,43.6,Amber,Near-Prime Borrowers
C00082,LN491207,47.9,Amber,High-Risk Borrowers
C00085,LN372562,48.9,Amber,Prime Borrowers
C00090,LN422269,47.2,Amber,Prime Borrowers
C00091,LN150163,13.0,Green,Near-Prime Borrowers
C00092,LN571770,32.8,Green,Near-Prime Borrowers
C00093,LN262712,56.1,Amber,Prime Borrowers
C00094,LN394099,28.3,Green,Prime Borrowers
C00095,LN975706,39.1,Amber,Prime Borrowers
C00096,LN726079,36.1,Amber,Near-Prime Borrowers
C00097,LN843379,67.0,Red,High-Risk Borrowers
C00098,LN580570,14.4,Green,Prime Borrowers
C00100,LN278818,58.9,Amber,Prime Borrowers
C00101,LN555838,54.0,Amber,Near-Prime Borrowers
C00106,LN682676,33.2,Green,Prime Borrowers
C00107,LN196720,37.5,Amber,Prime Borrowers
C00109,LN784876,23.3,Green,Prime Borrowers
C00110,LN373358,46.5,Amber,Prime Borrowers
C00111,LN849545,53.3,Amber,High-Risk Borrowers
C00115,LN126655,8.7,Green,Prime Borrowers
C00120,LN304539,11.1,Green,Near-Prime Borrowers
C00125,LN125029,29.6,Green,Prime Borrowers
C00126,LN846261,10.9,Green,Prime Borrowers
C00127,LN186995,34.0,Green,Near-Prime Borrowers
C00128,LN149723,56.3,Amber,Prime Borrowers
C00131,LN719966,13.8,Green,Near-Prime Borrowers
C00132,LN460382,15.0,Green,Prime Borrowers
C00133,LN645664,64.5,Amber,High-Risk Borrowers
C00136,LN974374,33.7,Green,High-Risk Borrowers
C00137,LN192429,32.2,Green,Prime Borrowers
C00138,LN746733,12.7,Green,Prime Borrowers
C00139,LN918979,68.0,Red,High-Risk Borrowers
C00142,LN263551,63.8,Amber,Near-Prime Borrowers
C00145,LN639598,70.8,Red,High-Risk Borrowers
C00152,LN159575,58.3,Amber,High-Risk Borrowers
C00154,LN804707,57.2,Amber,Prime Borrowers
C00155,LN481027,60.4,Amber,Prime Borrowers
C00157,LN265486,10.7,Green,Near-Prime Borrowers
C00160,LN457904,14.7,Green,Prime Borrowers
C00161,LN377492,10.8,Green,Prime Borrowers
C00162,LN318653,18.5,Green,Prime Borrowers
C00171,LN940488,41.7,Amber,High-Risk Borrowers
C00172,LN997368,29.3,Green,Prime Borrowers
C00174,LN436707,17.2,Green,Prime Borrowers
C00176,LN746711,15.1,Green,Prime Borrowers
C00178,LN903921,10.1,Green,Prime Borrowers
C00179,LN593159,12.3,Green,Prime Borrowers
C00180,LN279955,74.1,Red,High-Risk Borrowers
C00182,LN812211,15.2,Green,Prime Borrowers
C00184,LN486271,16.3,Green,Prime Borrowers
C00186,LN980895,41.3,Amber,Prime Borrowers
C00189,LN867810,33.2,Green,Prime Borrowers
C00191,LN842945,61.2,Amber,High-Risk Borrowers
C00192,LN188793,25.3,Green,Prime Borrowers
C00195,LN261589,17.0,Green,Prime Borrowers
C00197,LN990336,58.3,Amber,High-Risk Borrowers
C00198,LN234355,50.6,Amber,Near-Prime Borrowers
C00203,LN992524,80.4,Red,High-Risk Borrowers
C00204,LN791203,40.0,Amber,High-Risk Borrowers
C00205,LN760316,18.5,Green,Prime Borrowers
C00206,LN467162,19.3,Green,Near-Prime Borrowers
C00211,LN448062,22.1,Green,Prime Borrowers
C00213,LN287118,32.6,Green,Prime Borrowers
C00216,LN217877,10.0,Green,Prime Borrowers
C00220,LN283156,35.3,Amber,Prime Borrowers
C00222,LN549364,64.8,Amber,High-Risk Borrowers
C00228,LN450815,44.7,Amber,Prime Borrowers
C00229,LN505383,29.9,Green,Prime Borrowers
C00233,LN172963,39.6,Amber,Prime Borrowers
C00234,LN717123,73.0,Red,High-Risk Borrowers
C00237,LN376640,45.8,Amber,High-Risk Borrowers
C00243,LN434001,63.4,Amber,High-Risk Borrowers
C00244,LN411850,56.6,Amber,Near-Prime Borrowers
C00246,LN816221,41.1,Amber,High-Risk Borrowers
C00250,LN260726,31.4,Green,High-Risk Borrowers
C00253,LN795085,26.2,Green,Prime Borrowers
C00255,LN741758,64.7,Amber,High-Risk Borrowers
C00256,LN246752,14.1,Green,Prime Borrowers
C00257,LN674655,15.6,Green,Prime Borrowers
C00260,LN954434,56.8,Amber,Prime Borrowers
C00262,LN838234,52.9,Amber,High-Risk Borrowers
C00263,LN127803,19.7,Green,Prime Borrowers
C00265,LN550413,32.8,Green,High-Risk Borrowers
C00266,LN595190,58.7,Amber,Near-Prime Borrowers
C00267,LN681524,14.3,Green,Prime Borrowers
C00268,LN571899,21.9,Green,Prime Borrowers
C00273,LN507468,18.5,Green,Prime Borrowers
C00274,LN158757,64.0,Amber,Near-Prime Borrowers
C00275,LN314832,54.6,Amber,Prime Borrowers
C00276,LN315524,66.4,Red,High-Risk Borrowers
C00278,LN578291,31.8,Green,Prime Borrowers
C00279,LN412821,64.8,Amber,High-Risk Borrowers
C00280,LN593131,41.8,Amber,Prime Borrowers
C00282,LN757980,10.8,Green,Near-Prime Borrowers
C00283,LN672783,42.7,Amber,High-Risk Borrowers
